Resonance Frequency (GHz),Powers (dB)
4.076875000,-80.000000000
4.081070313,-80.000000000
4.084218750,-80.000000000
4.084812500,-80.000000000
4.086593750,-80.000000000
4.088500000,-80.000000000
4.091804687,-80.000000000
4.096968750,-80.000000000
4.102281250,-80.000000000
4.105390625,-80.000000000
4.107093750,-80.000000000
4.110062500,-80.000000000
4.111671875,-80.000000000
4.117140625,-80.000000000
4.119601563,-80.000000000
4.120859375,-80.000000000
4.121304688,-80.000000000
4.128765625,-80.000000000
4.129835938,-80.000000000
4.132734375,-80.000000000
4.138226562,-80.000000000
4.139273437,-80.000000000
4.142398438,-80.000000000
4.143046875,-80.000000000
4.146453125,-80.000000000
4.150664063,-80.000000000
4.154789062,-80.000000000
4.155609375,-80.000000000
4.160304688,-80.000000000
4.160960938,-80.000000000
4.166140625,-80.000000000
4.170421875,-80.000000000
4.170617188,-80.000000000
4.175023438,-80.000000000
4.175585938,-80.000000000
4.178835938,-80.000000000
4.183257812,-80.000000000
4.186500000,-80.000000000
4.189367188,-80.000000000
4.192554688,-80.000000000
4.196406250,-80.000000000
4.196796875,-80.000000000
4.202812500,-80.000000000
4.203929688,-80.000000000
4.208359375,-80.000000000
4.209742187,-80.000000000
4.214976563,-80.000000000
4.215882813,-80.000000000
4.218484375,-80.000000000
4.221750000,-80.000000000
4.224789063,-80.000000000
4.227468750,-80.000000000
4.232921875,-80.000000000
4.236179687,-80.000000000
4.237335938,-80.000000000
4.240648437,-80.000000000
4.243835938,-80.000000000
4.243960938,-80.000000000
4.250742188,-80.000000000
4.253054688,-80.000000000
4.254882812,-80.000000000
4.259273438,-80.000000000
4.260757813,-80.000000000
4.264617187,-80.000000000
4.266210938,-80.000000000
4.271937500,-80.000000000
4.275492188,-80.000000000
4.276351563,-80.000000000
4.282109375,-80.000000000
4.283156250,-80.000000000
4.286976563,-80.000000000
4.289914063,-80.000000000
4.291890625,-80.000000000
4.295835938,-80.000000000
4.298632813,-80.000000000
4.302226563,-80.000000000
4.305742187,-80.000000000
4.306960938,-80.000000000
4.309625000,-80.000000000
4.313273438,-80.000000000
4.316070312,-80.000000000
4.320421875,-80.000000000
4.321976563,-80.000000000
4.324914063,-80.000000000
4.325257813,-80.000000000
4.329500000,-80.000000000
4.335281250,-80.000000000
4.340359375,-80.000000000
4.342140625,-80.000000000
4.346679688,-80.000000000
4.346750000,-80.000000000
4.350093750,-80.000000000
4.353789063,-80.000000000
4.356726563,-80.000000000
4.362265625,-80.000000000
4.365281250,-80.000000000
4.369015625,-80.000000000
4.369617188,-80.000000000
4.373257813,-80.000000000
4.375007813,-80.000000000
4.375812500,-80.000000000
4.381421875,-80.000000000
4.387546875,-80.000000000
4.390132813,-80.000000000
4.393898437,-80.000000000
4.393984375,-80.000000000
4.397015625,-80.000000000
4.400757813,-80.000000000
4.404000000,-80.000000000
4.406007813,-80.000000000
4.411343750,-80.000000000
4.412179688,-80.000000000
4.416531250,-80.000000000
4.420882813,-80.000000000
4.421109375,-80.000000000
4.426968750,-80.000000000
4.427484375,-80.000000000
4.433492188,-80.000000000
4.434882813,-80.000000000
4.437781250,-80.000000000
4.441382813,-80.000000000
4.442523438,-80.000000000
4.446742187,-80.000000000
4.453218750,-80.000000000
4.454101562,-80.000000000
4.456648438,-80.000000000
4.460000000,-80.000000000
4.466062500,-80.000000000
4.466968750,-80.000000000
4.471539063,-80.000000000
4.474367188,-80.000000000
4.475765625,-80.000000000
4.476132813,-80.000000000
4.484054688,-80.000000000
4.485773438,-80.000000000
4.488914063,-80.000000000
4.491859375,-80.000000000
4.495421875,-80.000000000
4.498054688,-80.000000000
4.502710937,-80.000000000
4.503937500,-80.000000000
4.507085938,-80.000000000
4.512445313,-80.000000000
4.513351563,-80.000000000
4.519617188,-80.000000000
4.521445313,-80.000000000
4.524117187,-80.000000000
4.529343750,-80.000000000
4.532281250,-80.000000000
4.535468750,-80.000000000
4.537210938,-80.000000000
4.542632812,-80.000000000
4.543296875,-80.000000000
4.546585938,-80.000000000
4.551703125,-80.000000000
4.552007813,-80.000000000
4.557812500,-80.000000000
4.560023437,-80.000000000
4.565132812,-80.000000000
4.567898438,-80.000000000
4.570171875,-80.000000000
4.571414063,-80.000000000
4.575960938,-80.000000000
4.577781250,-80.000000000
4.583648437,-80.000000000
4.585906250,-80.000000000
4.588953125,-80.000000000
4.595062500,-80.000000000
4.595312500,-80.000000000
4.598781250,-80.000000000
4.601796875,-80.000000000
4.604500000,-80.000000000
4.609718750,-80.000000000
4.611906250,-80.000000000
4.616875000,-80.000000000
4.621671875,-80.000000000
4.622078125,-80.000000000
4.624070313,-80.000000000
4.629875000,-80.000000000
4.632625000,-80.000000000
4.635148438,-80.000000000
4.637843750,-80.000000000
4.641335938,-80.000000000
4.647562500,-80.000000000
4.647929688,-80.000000000
4.648515625,-80.000000000
4.652960938,-80.000000000
4.658414063,-80.000000000
4.662257813,-80.000000000
4.666296875,-80.000000000
4.667929688,-80.000000000
4.674945313,-80.000000000
4.676250000,-80.000000000
4.676656250,-80.000000000
4.681039063,-80.000000000
4.686203125,-80.000000000
4.687250000,-80.000000000
4.691703125,-80.000000000
4.693054688,-80.000000000
4.698492188,-80.000000000
4.700515625,-80.000000000
4.705132813,-80.000000000
4.709296875,-80.000000000
4.710773438,-80.000000000
4.714781250,-80.000000000
4.717546875,-80.000000000
4.725015625,-80.000000000
4.726734375,-80.000000000
4.729679688,-80.000000000
4.733914063,-80.000000000
4.737531250,-80.000000000
4.738703125,-80.000000000
4.745445313,-80.000000000
4.746062500,-80.000000000
4.749343750,-80.000000000
4.751656250,-80.000000000
4.756015625,-80.000000000
4.757039063,-80.000000000
4.765492188,-80.000000000
4.766500000,-80.000000000
4.769601563,-80.000000000
4.773289062,-80.000000000
4.779546875,-80.000000000
4.781335938,-80.000000000
4.785148438,-80.000000000
4.786351563,-80.000000000
4.790210938,-80.000000000
4.794203125,-80.000000000
4.797492188,-80.000000000
4.797921875,-80.000000000
4.800851563,-80.000000000
4.806351563,-80.000000000
4.810695313,-80.000000000
4.813546875,-80.000000000
4.818148438,-80.000000000
4.822539063,-80.000000000
4.822585938,-80.000000000
4.828539062,-80.000000000
4.833835937,-80.000000000
4.834515625,-80.000000000
4.839812500,-80.000000000
4.842476562,-80.000000000
4.843460938,-80.000000000
4.849195313,-80.000000000
4.852820313,-80.000000000
4.857796875,-80.000000000
4.858937500,-80.000000000
4.860156250,-80.000000000
4.865375000,-80.000000000
4.867687500,-80.000000000
4.868195313,-80.000000000
4.876304688,-80.000000000
4.879789063,-80.000000000
4.886742188,-80.000000000
4.888046875,-80.000000000
4.890625000,-80.000000000
4.893828125,-80.000000000
4.898093750,-80.000000000
4.899890625,-80.000000000
4.900500000,-80.000000000
4.905546875,-80.000000000
4.909453125,-80.000000000
4.914398438,-80.000000000
4.917570313,-80.000000000
4.922109375,-80.000000000
4.926070313,-80.000000000
4.928242188,-80.000000000
4.932835938,-80.000000000
4.934117188,-80.000000000
4.939437500,-80.000000000
4.940773437,-80.000000000
4.947640625,-80.000000000
4.947984375,-80.000000000
4.949148437,-80.000000000
4.951695313,-80.000000000
4.958156250,-80.000000000
4.965593750,-80.000000000
4.966125000,-80.000000000
4.973890625,-80.000000000
4.978132813,-80.000000000
4.980671875,-80.000000000
4.981039063,-80.000000000
4.983484375,-80.000000000
4.986617188,-80.000000000
4.993375000,-80.000000000
4.995390625,-80.000000000
4.999609375,-80.000000000
4.999742187,-80.000000000
5.004140625,-80.000000000
5.006718750,-80.000000000
5.011000000,-80.000000000
5.018320313,-80.000000000
5.023632813,-80.000000000
5.025984375,-80.000000000
5.028671875,-80.000000000
5.029265625,-80.000000000
5.035773438,-80.000000000
5.036328125,-80.000000000
5.043632813,-80.000000000
5.044140625,-80.000000000
5.046968750,-80.000000000
5.055531250,-80.000000000
5.056187500,-80.000000000
5.063101562,-80.000000000
5.064523438,-80.000000000
5.068953125,-80.000000000
5.069617188,-80.000000000
5.073210938,-80.000000000
5.078109375,-80.000000000
5.084031250,-80.000000000
5.084523438,-80.000000000
5.089140625,-80.000000000
5.093414062,-80.000000000
5.095445312,-80.000000000
5.099609375,-80.000000000
5.100671875,-80.000000000
5.110710938,-80.000000000
5.111164063,-80.000000000
5.114187500,-80.000000000
5.118601563,-80.000000000
5.119132813,-80.000000000
5.123765625,-80.000000000
5.131195313,-80.000000000
5.135617188,-80.000000000
5.139890625,-80.000000000
5.141398438,-80.000000000
5.146343750,-80.000000000
5.146718750,-80.000000000
5.147070313,-80.000000000
5.151429688,-80.000000000
5.160570312,-80.000000000
5.162828125,-80.000000000
5.163070313,-80.000000000
5.169171875,-80.000000000
5.173601563,-80.000000000
5.178203125,-80.000000000
5.179570313,-80.000000000
5.184281250,-80.000000000
5.188320313,-80.000000000
5.192000000,-80.000000000
5.194937500,-80.000000000
5.203054687,-80.000000000
5.207367188,-80.000000000
5.208914062,-80.000000000
5.214671875,-80.000000000
5.219687500,-80.000000000
5.219781250,-80.000000000
5.224781250,-80.000000000
5.227039063,-80.000000000
5.231250000,-80.000000000
5.237578125,-80.000000000
5.238007813,-80.000000000
5.245609375,-80.000000000
5.246992188,-80.000000000
5.251421875,-80.000000000
5.255351563,-80.000000000
5.259875000,-80.000000000
5.261562500,-80.000000000
5.263609375,-80.000000000
5.264328125,-80.000000000
5.273640625,-80.000000000
5.276382813,-80.000000000
5.280984375,-80.000000000
5.284210938,-80.000000000
5.287375000,-80.000000000
5.293234375,-80.000000000
5.298023438,-80.000000000
5.299328125,-80.000000000
5.301234375,-80.000000000
5.306421875,-80.000000000
5.312773438,-80.000000000
5.316500000,-80.000000000
5.317476563,-80.000000000
5.322804688,-80.000000000
5.325359375,-80.000000000
5.327421875,-80.000000000
5.331164063,-80.000000000
5.333546875,-80.000000000
5.340804688,-80.000000000
5.343148438,-80.000000000
5.352851563,-80.000000000
5.356015625,-80.000000000
5.357609375,-80.000000000
5.361726563,-80.000000000
5.365304688,-80.000000000
5.365734375,-80.000000000
5.367640625,-80.000000000
5.376210938,-80.000000000
5.380171875,-80.000000000
5.381937500,-80.000000000
5.383109375,-80.000000000
5.390828125,-80.000000000
5.394945312,-80.000000000
5.398523438,-80.000000000
5.401351563,-80.000000000
5.402257813,-80.000000000
5.410976563,-80.000000000
5.415070313,-80.000000000
5.423195313,-80.000000000
5.424390625,-80.000000000
5.426601563,-80.000000000
5.429156250,-80.000000000
5.434578125,-80.000000000
5.435945313,-80.000000000
5.439468750,-80.000000000
5.443562500,-80.000000000
5.448312500,-80.000000000
5.458734375,-80.000000000
5.459851562,-80.000000000
5.460062500,-80.000000000
5.461281250,-80.000000000
5.469515625,-80.000000000
5.470640625,-80.000000000
5.477976563,-80.000000000
5.479921875,-80.000000000
5.486820312,-80.000000000
5.493765625,-80.000000000
5.495000000,-80.000000000
5.501367188,-80.000000000
5.502265625,-80.000000000
5.506976563,-80.000000000
5.510882813,-80.000000000
5.515734375,-80.000000000
5.518531250,-80.000000000
5.520632813,-80.000000000
5.527750000,-80.000000000
5.533242187,-80.000000000
5.533671875,-80.000000000
5.538484375,-80.000000000
5.542101563,-80.000000000
5.547453125,-80.000000000
5.550218750,-80.000000000
5.551906250,-80.000000000
5.556601563,-80.000000000
5.562367188,-80.000000000
5.565906250,-80.000000000
5.569718750,-80.000000000
5.574726563,-80.000000000
5.579437500,-80.000000000
5.584429688,-80.000000000
5.586515625,-80.000000000
5.586843750,-80.000000000
5.597781250,-80.000000000
5.602351562,-80.000000000
5.603937500,-80.000000000
5.609273438,-80.000000000
5.609625000,-80.000000000
5.616890625,-80.000000000
5.619164063,-80.000000000
5.624640625,-80.000000000
5.625578125,-80.000000000
5.630648438,-80.000000000
5.638109375,-80.000000000
5.644820313,-80.000000000
5.649070313,-80.000000000
5.650070313,-80.000000000
5.651164063,-80.000000000
5.662023438,-80.000000000
5.662367188,-80.000000000
5.664593750,-80.000000000
5.667007813,-80.000000000
5.674218750,-80.000000000
5.675796875,-80.000000000
5.679828125,-80.000000000
5.690054687,-80.000000000
5.692570313,-80.000000000
5.695296875,-80.000000000
5.700367188,-80.000000000
5.704234375,-80.000000000
5.710140625,-80.000000000
5.711218750,-80.000000000
5.718390625,-80.000000000
5.719078125,-80.000000000
5.726078125,-80.000000000
5.727054688,-80.000000000
5.732734375,-80.000000000
5.733898438,-80.000000000
5.741273438,-80.000000000
5.743117188,-80.000000000
5.747015625,-80.000000000
5.750421875,-80.000000000
5.756601563,-80.000000000
5.759601563,-80.000000000
5.761039063,-80.000000000
5.766164063,-80.000000000
5.770578125,-80.000000000
5.776039063,-80.000000000
5.778750000,-80.000000000
5.784281250,-80.000000000
5.786734375,-80.000000000
5.792000000,-80.000000000
5.795039063,-80.000000000
5.800351563,-80.000000000
5.804210938,-80.000000000
5.809320313,-80.000000000
5.817023438,-80.000000000
5.817429688,-80.000000000
5.826289063,-80.000000000
5.837359375,-80.000000000
5.863210938,-80.000000000
5.874812500,-80.000000000
5.898632813,-80.000000000
5.923625000,-80.000000000
6.146796875,-80.000000000
6.151937500,-80.000000000
6.155187500,-80.000000000
6.156843750,-80.000000000
6.157406250,-80.000000000
6.164078125,-80.000000000
6.165171875,-80.000000000
6.170109375,-80.000000000
6.173039063,-80.000000000
6.173578125,-80.000000000
6.174984375,-80.000000000
6.180304688,-80.000000000
6.180992188,-80.000000000
6.184726563,-80.000000000
6.190000000,-80.000000000
6.190210938,-80.000000000
6.192148438,-80.000000000
6.192679688,-80.000000000
6.199304688,-80.000000000
6.202078125,-80.000000000
6.205117187,-80.000000000
6.209984375,-80.000000000
6.215914063,-80.000000000
6.216070313,-80.000000000
6.221757813,-80.000000000
6.224945313,-80.000000000
6.225054688,-80.000000000
6.228335938,-80.000000000
6.234570313,-80.000000000
6.234890625,-80.000000000
6.235601563,-80.000000000
6.246343750,-80.000000000
6.246554688,-80.000000000
6.247664063,-80.000000000
6.248781250,-80.000000000
6.251976563,-80.000000000
6.254578125,-80.000000000
6.262789063,-80.000000000
6.264437500,-80.000000000
6.268343750,-80.000000000
6.272125000,-80.000000000
6.273054688,-80.000000000
6.274132813,-80.000000000
6.281109375,-80.000000000
6.281476562,-80.000000000
6.287609375,-80.000000000
6.290828125,-80.000000000
6.291093750,-80.000000000
6.296382813,-80.000000000
6.299539063,-80.000000000
6.300492188,-80.000000000
6.305656250,-80.000000000
6.306476563,-80.000000000
6.313125000,-80.000000000
6.316671875,-80.000000000
6.316890625,-80.000000000
6.321351563,-80.000000000
6.326570313,-80.000000000
6.327234375,-80.000000000
6.333906250,-80.000000000
6.335414063,-80.000000000
6.340578125,-80.000000000
6.340828125,-80.000000000
6.343015625,-80.000000000
6.347343750,-80.000000000
6.349171875,-80.000000000
6.356296875,-80.000000000
6.358484375,-80.000000000
6.359273438,-80.000000000
6.363210938,-80.000000000
6.365234375,-80.000000000
6.368117188,-80.000000000
6.374929688,-80.000000000
6.376328125,-80.000000000
6.380000000,-80.000000000
6.382382813,-80.000000000
6.388453125,-80.000000000
6.389429688,-80.000000000
6.394695313,-80.000000000
6.395789063,-80.000000000
6.398492188,-80.000000000
6.403960938,-80.000000000
6.406046875,-80.000000000
6.407585938,-80.000000000
6.413242188,-80.000000000
6.417796875,-80.000000000
6.418984375,-80.000000000
6.421632813,-80.000000000
6.428296875,-80.000000000
6.429335938,-80.000000000
6.430148438,-80.000000000
6.436734375,-80.000000000
6.439875000,-80.000000000
6.442320313,-80.000000000
6.447593750,-80.000000000
6.450953125,-80.000000000
6.451085938,-80.000000000
6.451343750,-80.000000000
6.457320313,-80.000000000
6.460820313,-80.000000000
6.464523438,-80.000000000
6.467867188,-80.000000000
6.470320313,-80.000000000
6.472601563,-80.000000000
6.480531250,-80.000000000
6.482445313,-80.000000000
6.486835938,-80.000000000
6.489789063,-80.000000000
6.493171875,-80.000000000
6.496648438,-80.000000000
6.498187500,-80.000000000
6.500492188,-80.000000000
6.504609375,-80.000000000
6.509398438,-80.000000000
6.510570313,-80.000000000
6.514304688,-80.000000000
6.521257813,-80.000000000
6.523640625,-80.000000000
6.523960938,-80.000000000
6.527125000,-80.000000000
6.528031250,-80.000000000
6.532578125,-80.000000000
6.538609375,-80.000000000
6.542429688,-80.000000000
6.545875000,-80.000000000
6.546250000,-80.000000000
6.553828125,-80.000000000
6.553960938,-80.000000000
6.555562500,-80.000000000
6.559140625,-80.000000000
6.566976563,-80.000000000
6.567796875,-80.000000000
6.573757813,-80.000000000
6.574945313,-80.000000000
6.582046875,-80.000000000
6.582140625,-80.000000000
6.582820312,-80.000000000
6.588554688,-80.000000000
6.590218750,-80.000000000
6.595406250,-80.000000000
6.598703125,-80.000000000
6.603859375,-80.000000000
6.604046875,-80.000000000
6.610023438,-80.000000000
6.618007813,-80.000000000
6.618578125,-80.000000000
6.620718750,-80.000000000
6.621531250,-80.000000000
6.625250000,-80.000000000
6.629250000,-80.000000000
6.632320313,-80.000000000
6.638289063,-80.000000000
6.641523438,-80.000000000
6.644429688,-80.000000000
6.647312500,-80.000000000
6.649867188,-80.000000000
6.653390625,-80.000000000
6.659117188,-80.000000000
6.662734375,-80.000000000
6.664000000,-80.000000000
6.666804687,-80.000000000
6.667820313,-80.000000000
6.673640625,-80.000000000
6.677664063,-80.000000000
6.679015625,-80.000000000
6.684500000,-80.000000000
6.686937500,-80.000000000
6.690375000,-80.000000000
6.692882813,-80.000000000
6.697335938,-80.000000000
6.697734375,-80.000000000
6.703664063,-80.000000000
6.704984375,-80.000000000
6.708710938,-80.000000000
6.712085938,-80.000000000
6.723187500,-80.000000000
6.724289063,-80.000000000
6.726851563,-80.000000000
6.729835938,-80.000000000
6.732320313,-80.000000000
6.733843750,-80.000000000
6.735265625,-80.000000000
6.740039063,-80.000000000
6.749500000,-80.000000000
6.750007813,-80.000000000
6.751781250,-80.000000000
6.754460938,-80.000000000
6.756195313,-80.000000000
6.761804688,-80.000000000
6.761921875,-80.000000000
6.765062500,-80.000000000
6.776882813,-80.000000000
6.781132813,-80.000000000
6.781500000,-80.000000000
6.790273438,-80.000000000
6.795164063,-80.000000000
6.795843750,-80.000000000
6.796554688,-80.000000000
6.800078125,-80.000000000
6.805679688,-80.000000000
6.806578125,-80.000000000
6.810125000,-80.000000000
6.813312500,-80.000000000
6.815460938,-80.000000000
6.820421875,-80.000000000
6.828179688,-80.000000000
6.829312500,-80.000000000
6.830367188,-80.000000000
6.835554688,-80.000000000
6.837000000,-80.000000000
6.846601563,-80.000000000
6.846828125,-80.000000000
6.847609375,-80.000000000
6.853375000,-80.000000000
6.856226563,-80.000000000
6.858164063,-80.000000000
6.861882813,-80.000000000
6.865851563,-80.000000000
6.874593750,-80.000000000
6.876265625,-80.000000000
6.880945313,-80.000000000
6.881968750,-80.000000000
6.883343750,-80.000000000
6.887710938,-80.000000000
6.890859375,-80.000000000
6.893734375,-80.000000000
6.901359375,-80.000000000
6.901750000,-80.000000000
6.908414063,-80.000000000
6.912539063,-80.000000000
6.912703125,-80.000000000
6.915750000,-80.000000000
6.920070313,-80.000000000
6.922578125,-80.000000000
6.928304688,-80.000000000
6.931406250,-80.000000000
6.942460938,-80.000000000
6.945171875,-80.000000000
6.948851563,-80.000000000
6.950437500,-80.000000000
6.953796875,-80.000000000
6.957585938,-80.000000000
6.962945313,-80.000000000
6.965531250,-80.000000000
6.968562500,-80.000000000
6.972695313,-80.000000000
6.974265625,-80.000000000
6.978929688,-80.000000000
6.982296875,-80.000000000
6.983390625,-80.000000000
6.989757813,-80.000000000
6.990335938,-80.000000000
6.996093750,-80.000000000
6.998093750,-80.000000000
7.000492188,-80.000000000
7.003664063,-80.000000000
7.011460938,-80.000000000
7.013031250,-80.000000000
7.014070313,-80.000000000
7.022773438,-80.000000000
7.023429688,-80.000000000
7.024820313,-80.000000000
7.029898438,-80.000000000
7.031085938,-80.000000000
7.039710938,-80.000000000
7.040273438,-80.000000000
7.042875000,-80.000000000
7.049742188,-80.000000000
7.052531250,-80.000000000
7.056500000,-80.000000000
7.062820313,-80.000000000
7.067703125,-80.000000000
7.068500000,-80.000000000
7.072984375,-80.000000000
7.076015625,-80.000000000
7.082515625,-80.000000000
7.083882813,-80.000000000
7.086562500,-80.000000000
7.087812500,-80.000000000
7.095242188,-80.000000000
7.099804688,-80.000000000
7.100515625,-80.000000000
7.104773438,-80.000000000
7.107476563,-80.000000000
7.111726563,-80.000000000
7.118742188,-80.000000000
7.121187500,-80.000000000
7.124507813,-80.000000000
7.124875000,-80.000000000
7.127132813,-80.000000000
7.135578125,-80.000000000
7.136875000,-80.000000000
7.142890625,-80.000000000
7.147062500,-80.000000000
7.148664063,-80.000000000
7.153359375,-80.000000000
7.156078125,-80.000000000
7.160109375,-80.000000000
7.165554688,-80.000000000
7.165945313,-80.000000000
7.169484375,-80.000000000
7.177554688,-80.000000000
7.177937500,-80.000000000
7.179195313,-80.000000000
7.187171875,-80.000000000
7.188789063,-80.000000000
7.196617188,-80.000000000
7.199914063,-80.000000000
7.202828125,-80.000000000
7.206796875,-80.000000000
7.213914063,-80.000000000
7.215656250,-80.000000000
7.216109375,-80.000000000
7.221718750,-80.000000000
7.223656250,-80.000000000
7.225679688,-80.000000000
7.231796875,-80.000000000
7.236109375,-80.000000000
7.236203125,-80.000000000
7.238851563,-80.000000000
7.250273438,-80.000000000
7.252890625,-80.000000000
7.253585938,-80.000000000
7.259796875,-80.000000000
7.259976563,-80.000000000
7.261226563,-80.000000000
7.265078125,-80.000000000
7.274882813,-80.000000000
7.276664063,-80.000000000
7.276773438,-80.000000000
7.280085938,-80.000000000
7.287250000,-80.000000000
7.288562500,-80.000000000
7.291820313,-80.000000000
7.301695313,-80.000000000
7.302398438,-80.000000000
7.304585938,-80.000000000
7.307296875,-80.000000000
7.310398438,-80.000000000
7.318382813,-80.000000000
7.321328125,-80.000000000
7.324679688,-80.000000000
7.325789063,-80.000000000
7.332312500,-80.000000000
7.334882813,-80.000000000
7.337445313,-80.000000000
7.339625000,-80.000000000
7.344492188,-80.000000000
7.348203125,-80.000000000
7.354210938,-80.000000000
7.354726563,-80.000000000
7.360171875,-80.000000000
7.369265625,-80.000000000
7.371664063,-80.000000000
7.373343750,-80.000000000
7.374453125,-80.000000000
7.376390625,-80.000000000
7.377796875,-80.000000000
7.383921875,-80.000000000
7.391296875,-80.000000000
7.393437500,-80.000000000
7.397023438,-80.000000000
7.401781250,-80.000000000
7.401898438,-80.000000000
7.409875000,-80.000000000
7.413421875,-80.000000000
7.413976563,-80.000000000
7.422343750,-80.000000000
7.423945313,-80.000000000
7.428734375,-80.000000000
7.429859375,-80.000000000
7.432687500,-80.000000000
7.435562500,-80.000000000
7.438984375,-80.000000000
7.442414063,-80.000000000
7.449000000,-80.000000000
7.456054688,-80.000000000
7.463460938,-80.000000000
7.464335938,-80.000000000
7.465960938,-80.000000000
7.470117188,-80.000000000
7.479250000,-80.000000000
7.480687500,-80.000000000
7.483664063,-80.000000000
7.485687500,-80.000000000
7.487265625,-80.000000000
7.491632813,-80.000000000
7.497210938,-80.000000000
7.497742188,-80.000000000
7.499773438,-80.000000000
7.502062500,-80.000000000
7.503265625,-80.000000000
7.511593750,-80.000000000
7.513796875,-80.000000000
7.514234375,-80.000000000
7.517921875,-80.000000000
7.519609375,-80.000000000
7.531218750,-80.000000000
7.543796875,-80.000000000
7.546406250,-80.000000000
7.546539063,-80.000000000
7.549039063,-80.000000000
7.555296875,-80.000000000
7.556414063,-80.000000000
7.558734375,-80.000000000
7.564015625,-80.000000000
7.564898438,-80.000000000
7.572968750,-80.000000000
7.575468750,-80.000000000
7.584734375,-80.000000000
7.584937500,-80.000000000
7.587312500,-80.000000000
7.588750000,-80.000000000
7.590460938,-80.000000000
7.593953125,-80.000000000
7.604195313,-80.000000000
7.605382813,-80.000000000
7.616000000,-80.000000000
7.619773438,-80.000000000
7.621156250,-80.000000000
7.624781250,-80.000000000
7.636210938,-80.000000000
7.636968750,-80.000000000
7.637710938,-80.000000000
7.640976563,-80.000000000
7.641414063,-80.000000000
7.649195313,-80.000000000
7.656789063,-80.000000000
7.657609375,-80.000000000
7.662468750,-80.000000000
7.669445313,-80.000000000
7.672429688,-80.000000000
7.681164063,-80.000000000
7.681398438,-80.000000000
7.683468750,-80.000000000
7.692531250,-80.000000000
7.693835938,-80.000000000
7.695117188,-80.000000000
7.697734375,-80.000000000
7.700648438,-80.000000000
7.707203125,-80.000000000
7.711195313,-80.000000000
7.714304688,-80.000000000
7.721046875,-80.000000000
7.722640625,-80.000000000
7.725015625,-80.000000000
7.727359375,-80.000000000
7.736960938,-80.000000000
7.739117188,-80.000000000
7.741625000,-80.000000000
7.742851563,-80.000000000
7.751460938,-80.000000000
7.751570313,-80.000000000
7.753859375,-80.000000000
7.757281250,-80.000000000
7.768804688,-80.000000000
7.771164063,-80.000000000
7.772992188,-80.000000000
7.774492188,-80.000000000
7.783976563,-80.000000000
7.787109375,-80.000000000
7.787367188,-80.000000000
7.788578125,-80.000000000
7.799882813,-80.000000000
7.803625000,-80.000000000
7.810585938,-80.000000000
7.811453125,-80.000000000
7.814257813,-80.000000000
7.820359375,-80.000000000
7.821085938,-80.000000000
7.821789063,-80.000000000
7.826492188,-80.000000000
7.827117188,-80.000000000
7.839195313,-80.000000000
7.839781250,-80.000000000
7.846187500,-80.000000000
7.849898438,-80.000000000
7.852203125,-80.000000000
7.857546875,-80.000000000
7.866937500,-80.000000000
7.868226563,-80.000000000
7.869945313,-80.000000000
7.876617188,-80.000000000
7.879054688,-80.000000000
7.880468750,-80.000000000
7.884765625,-80.000000000
7.888414063,-80.000000000
7.888703125,-80.000000000
7.893859375,-80.000000000
7.902546875,-80.000000000
7.908601563,-80.000000000
7.913078125,-80.000000000
7.915664063,-80.000000000
7.919656250,-80.000000000
7.925117188,-80.000000000
7.926445313,-80.000000000
7.933773438,-80.000000000
7.937875000,-80.000000000
7.938328125,-80.000000000
7.940609375,-80.000000000
7.944968750,-80.000000000
7.947031250,-80.000000000
7.951835938,-80.000000000
7.961929688,-80.000000000
7.962523438,-80.000000000
7.963015625,-80.000000000
8.017765625,-80.000000000
8.046343750,-80.000000000
8.053070313,-80.000000000
8.180671875,-80.000000000
8.191968750,-80.000000000
